Temperature F;Humidity;Wind Speed;Total Users;Date
52.1;77;19;84;01.01.2011
47;66;20;93;02.01.2011
34.9;35;20;61;03.01.2011
34.9;51;11;78;04.01.2011
38.3;33;22;79;05.01.2011
38.3;35;0;84;06.01.2011
33.1;37;17;59;07.01.2011
33.1;59;24;98;08.01.2011
31.4;37;30;83;09.01.2011
33.1;40;19;52;10.01.2011
33.1;51;7;57;11.01.2011
33.1;47;39;55;12.01.2011
33.1;44;28;52;13.01.2011
33.1;44;17;61;14.01.2011
36.6;48;15;89;15.01.2011
36.6;41;19;104;16.01.2011
31.4;47;9;80;17.01.2011
33.1;86;22;3;18.01.2011
41.8;81;6;70;19.01.2011
41.8;42;0;84;20.01.2011
34.9;27;39;78;21.01.2011
21.1;38;7;70;22.01.2011
29.7;37;31;116;23.01.2011
26.2;42;13;63;24.01.2011
38.3;56;6;106;25.01.2011
34.9;93;22;48;26.01.2011
31.4;93;7;29;27.01.2011
33.1;59;13;78;28.01.2011
41.8;52;7;97;29.01.2011
31.4;55;7;68;30.01.2011
33.1;86;0;55;31.01.2011
36.6;93;15;64;01.02.2011
33.1;40;24;69;02.02.2011
36.6;48;11;86;03.02.2011
34.9;100;11;52;04.02.2011
45.2;46;0;174;05.02.2011
43.5;62;0;66;06.02.2011
36.6;38;33;65;07.02.2011
31.4;40;15;61;08.02.2011
29.7;34;26;69;09.02.2011
34.9;47;9;71;10.02.2011
41.8;39;31;120;11.02.2011
47;32;31;152;12.02.2011
64.2;22;30;126;13.02.2011
40;24;17;71;14.02.2011
48.7;32;22;86;15.02.2011
57.3;41;15;101;16.02.2011
59;59;13;185;17.02.2011
53.9;18;33;119;18.02.2011
41.8;33;7;182;19.02.2011
43.5;66;13;93;20.02.2011
33.1;59;7;55;21.02.2011
38.3;35;6;67;22.02.2011
47;53;24;95;23.02.2011
62.5;60;31;115;24.02.2011
43.5;45;11;160;25.02.2011
50.4;54;6;193;26.02.2011
64.2;64;20;36;27.02.2011
41.8;39;9;86;28.02.2011
50.4;43;13;82;01.03.2011
34.9;25;9;72;02.03.2011
43.5;43;11;97;03.03.2011
53.9;67;17;167;04.03.2011
55.6;94;22;79;05.03.2011
41.8;42;28;96;06.03.2011
47;23;0;99;07.03.2011
43.5;76;17;98;08.03.2011
52.1;0;15;34;09.03.2011
45.2;53;17;111;10.03.2011
45.2;53;19;158;11.03.2011
55.6;38;26;194;12.03.2011
48.7;37;0;94;13.03.2011
47;50;15;102;14.03.2011
50.4;71;7;88;15.03.2011
59;45;15;105;16.03.2011
64.2;49;24;195;17.03.2011
55.6;33;28;267;18.03.2011
47;40;7;228;19.03.2011
53.9;77;17;81;20.03.2011
55.6;47;17;121;21.03.2011
45.2;87;15;87;22.03.2011
41.8;70;22;94;23.03.2011
43.5;42;17;145;24.03.2011
41.8;36;13;227;25.03.2011
38.3;44;15;163;26.03.2011
38.3;25;0;79;27.03.2011
45.2;25;11;106;28.03.2011
45.2;46;11;80;29.03.2011
40;93;13;90;30.03.2011
45.2;53;24;95;31.03.2011
43.5;81;9;184;01.04.2011
53.9;38;19;313;02.04.2011
71.1;36;31;157;03.04.2011
45.2;71;26;38;04.04.2011
53.9;41;17;134;05.04.2011
55.6;55;0;153;06.04.2011
48.7;66;15;80;07.04.2011
47;81;9;202;08.04.2011
52.1;88;9;230;09.04.2011
67.7;73;22;134;10.04.2011
64.2;64;31;92;11.04.2011
52.1;82;17;95;12.04.2011
62.5;42;9;145;13.04.2011
60.8;55;19;200;14.04.2011
55.6;88;39;32;15.04.2011
55.6;38;26;354;16.04.2011
64.2;49;6;184;17.04.2011
62.5;64;6;103;18.04.2011
76.3;48;26;145;19.04.2011
55.6;38;11;199;20.04.2011
45.2;76;9;80;21.04.2011
60.8;83;28;291;22.04.2011
74.6;65;17;388;23.04.2011
72.8;74;17;188;24.04.2011
76.3;61;28;186;25.04.2011
72.8;78;22;173;26.04.2011
69.4;78;17;107;27.04.2011
64.2;37;19;223;28.04.2011
60.8;42;26;416;29.04.2011
57.3;77;7;281;30.04.2011
69.4;69;15;187;01.05.2011
74.6;61;33;217;02.05.2011
53.9;62;24;124;03.05.2011
60.8;34;24;196;04.05.2011
64.2;49;24;246;05.05.2011
67.7;40;13;373;06.05.2011
67.7;46;6;382;07.05.2011
67.7;43;13;195;08.05.2011
67.7;38;0;217;09.05.2011
67.7;56;0;226;10.05.2011
65.9;60;15;207;11.05.2011
60.8;88;13;223;12.05.2011
60.8;100;6;279;13.05.2011
69.4;73;20;367;14.05.2011
72.8;54;6;209;15.05.2011
64.2;83;28;153;16.05.2011
64.2;94;20;54;17.05.2011
65.9;78;7;168;18.05.2011
67.7;56;17;255;19.05.2011
72.8;50;0;493;20.05.2011
78;51;13;401;21.05.2011
74.6;69;26;204;22.05.2011
81.5;45;26;170;23.05.2011
79.8;55;9;210;24.05.2011
83.2;59;22;194;25.05.2011
81.5;55;20;243;26.05.2011
78;58;17;358;27.05.2011
76.3;74;15;402;28.05.2011
90.1;47;7;366;29.05.2011
90.1;47;9;162;30.05.2011
90.1;53;0;169;31.05.2011
81.5;25;31;232;01.06.2011
72.8;27;19;259;02.06.2011
76.3;32;11;420;03.06.2011
71.1;69;7;335;04.06.2011
81.5;37;11;153;05.06.2011
84.9;46;19;183;06.06.2011
91.8;42;9;149;07.06.2011
95.3;35;13;140;08.06.2011
88.4;44;9;207;09.06.2011
84.9;55;15;347;10.06.2011
86.7;46;0;420;11.06.2011
72.8;41;19;196;12.06.2011
71.1;41;24;169;13.06.2011
76.3;34;15;211;14.06.2011
78;54;26;206;15.06.2011
76.3;65;17;243;16.06.2011
79.8;66;6;420;17.06.2011
79.8;55;6;396;18.06.2011
69.4;69;7;162;19.06.2011
76.3;74;11;189;20.06.2011
84.9;59;15;188;21.06.2011
81.5;66;19;160;22.06.2011
84.9;41;19;201;23.06.2011
79.8;40;19;392;24.06.2011
79.8;40;11;443;25.06.2011
78;54;0;170;26.06.2011
88.4;47;15;202;27.06.2011
81.5;35;17;243;28.06.2011
81.5;35;11;233;29.06.2011
84.9;26;0;263;30.06.2011
86.7;30;9;374;01.07.2011
84.9;55;7;404;02.07.2011
83.2;52;0;447;03.07.2011
84.9;43;7;201;04.07.2011
79.8;66;6;152;05.07.2011
88.4;41;0;171;06.07.2011
81.5;70;19;213;07.07.2011
84.9;46;17;366;08.07.2011
86.7;46;19;377;09.07.2011
88.4;53;19;148;10.07.2011
90.1;44;20;163;11.07.2011
88.4;41;19;174;12.07.2011
79.8;35;17;223;13.07.2011
76.3;48;13;238;14.07.2011
81.5;43;19;463;15.07.2011
81.5;55;19;420;16.07.2011
84.9;59;13;165;17.07.2011
88.4;56;6;153;18.07.2011
86.7;59;0;149;19.07.2011
91.8;56;22;135;20.07.2011
97;48;11;115;21.07.2011
95.3;37;7;235;22.07.2011
93.6;45;11;246;23.07.2011
88.4;59;13;67;24.07.2011
88.4;28;0;147;25.07.2011
86.7;30;19;169;26.07.2011
88.4;53;17;186;27.07.2011
98.7;31;19;135;28.07.2011
88.4;32;11;341;29.07.2011
93.6;25;13;338;30.07.2011
93.6;33;17;168;31.07.2011
90.1;30;19;157;01.08.2011
81.5;55;9;161;02.08.2011
81.5;62;15;205;03.08.2011
81.5;52;17;216;04.08.2011
84.9;55;15;382;05.08.2011
93.6;42;20;370;06.08.2011
86.7;46;17;182;07.08.2011
86.7;56;13;185;08.08.2011
86.7;38;20;240;09.08.2011
83.2;31;17;214;10.08.2011
84.9;27;0;222;11.08.2011
72.8;89;11;421;12.08.2011
76.3;79;15;281;13.08.2011
79.8;58;19;178;14.08.2011
81.5;48;22;162;15.08.2011
84.9;43;19;189;16.08.2011
84.9;52;19;173;17.08.2011
79.8;62;6;222;18.08.2011
79.8;58;9;409;19.08.2011
86.7;59;19;374;20.08.2011
79.8;35;26;207;21.08.2011
76.3;39;6;237;22.08.2011
79.8;55;22;235;23.08.2011
76.3;79;0;41;24.08.2011
81.5;66;7;243;25.08.2011
72.8;83;33;76;26.08.2011
79.8;51;26;306;27.08.2011
74.6;44;11;207;28.08.2011
78;37;0;237;29.08.2011
79.8;43;9;260;30.08.2011
78;51;9;229;31.08.2011
72.8;69;15;260;01.09.2011
76.3;61;15;257;02.09.2011
81.5;66;11;435;03.09.2011
